interaction_id,learner_id,concept_id,interaction_type,question_id,learner_answer,correct,confidence,hints_used,misconception_id,teaching_action,evidence_summary
INT001,demo_beginner,C001,diagnostic,Q_C001_B1,B,false,2,1,M001,,Confused class declaration with object creation.
INT002,demo_beginner,C001,assessment,Q_C001_I1,object is already made,false,2,2,M002,,Declaration confused with construction.
INT003,demo_beginner,C001,hint,Q_C001_I2,,false,1,1,M001,,Requested object creation scaffold.
INT004,demo_beginner,C002,diagnostic,Q_C002_B1,A,false,1,1,M003,,Did not identify private access.
INT005,demo_beginner,C002,assessment,Q_C002_I1,not sure,false,1,3,M003,,Needed full getter scaffold.
INT006,demo_beginner,C002,tutor_confusion,,private means no one can read it,false,2,0,M003,misconception-focused reframe,Tutor corrected private versus controlled access.
INT007,demo_beginner,C003,assessment,Q_C003_B1,B,true,3,1,,,Correct with hint on extends.
INT008,demo_beginner,C003,assessment,Q_C003_A1,Car extends Engine,false,2,2,M005,,Has-a relationship mistaken for is-a.
INT009,demo_beginner,C004,assessment,Q_C004_B1,A,true,3,1,,,Identified overload pair after scaffold.
INT010,demo_beginner,C004,assessment,Q_C004_A1,yes return type changes,false,2,2,M007,,Return type misconception.
INT011,demo_beginner,C005,assessment,Q_C005_B1,C,false,1,1,M010,,Did not recognize Override annotation.
INT012,demo_beginner,C005,assessment,Q_C005_A1,different parameters,false,2,3,M009,,Overriding confused with overloading.
INT013,demo_beginner,C006,assessment,Q_C006_B1,B,true,3,1,,,Basic polymorphism identified with hint.
INT014,demo_beginner,C006,assessment,Q_C006_I1,Animal,false,2,2,M011,,Variable type chosen instead of object type.
INT015,demo_beginner,C001,teaching,,,false,2,0,,simplified explanation,Simplified teaching selected for weak prerequisite knowledge.
INT016,demo_confident_wrong,C001,diagnostic,Q_C001_A1,class creates object,false,5,0,M001,,High-confidence class/object misconception.
INT017,demo_confident_wrong,C001,assessment,Q_C001_B1,B,false,5,0,M001,,Repeated high-confidence object creation error.
INT018,demo_confident_wrong,C002,assessment,Q_C002_B2,public fields are fine,false,4,0,M004,,Confident public field misconception.
INT019,demo_confident_wrong,C002,tutor_confusion,,encapsulation means public fields are easier,false,4,0,M004,misconception-focused reframe,Tutor targeted public field misconception.
INT020,demo_confident_wrong,C003,assessment,Q_C003_B1,B,true,4,0,,,Knows extends keyword.
INT021,demo_confident_wrong,C003,assessment,Q_C003_A1,Car should extend Engine,false,5,0,M005,,Confident misuse of inheritance.
INT022,demo_confident_wrong,C004,assessment,Q_C004_A1,yes return type enough,false,5,0,M007,,High-confidence overloading error.
INT023,demo_confident_wrong,C004,assessment,Q_C004_B1,A,true,4,0,,,Can identify direct overload pair.
INT024,demo_confident_wrong,C005,assessment,Q_C005_A1,same name different params,false,5,0,M009,,Confidently confuses overriding and overloading.
INT025,demo_confident_wrong,C005,assessment,Q_C005_I1,Parent,false,5,0,M009,,High-confidence runtime dispatch error.
INT026,demo_confident_wrong,C006,assessment,Q_C006_I1,Animal,false,5,0,M011,,Confident variable-type polymorphism error.
INT027,demo_confident_wrong,C006,assessment,Q_C006_B2,dynamic dispatch,true,4,0,,,Knows term but misapplies examples.
INT028,demo_confident_wrong,C004,teaching,,,false,5,0,,corrective explanation plus diagnostic question,High-confidence incorrect evidence selected corrective teaching.
INT029,demo_confident_wrong,C005,assessment_safeguard,Q_C005_I2,just give me the answer,,4,0,,,Direct answer request refused during assessment.
INT030,demo_confident_wrong,C002,assessment,Q_C002_A2,public is easier,false,4,1,M004,,Hint used after confident misconception.
INT031,demo_repeater,C005,diagnostic,Q_C005_B2,methods with different parameters,false,3,1,M009,,Initial overloading versus overriding confusion.
INT032,demo_repeater,C005,assessment,Q_C005_I1,Parent,false,4,2,M009,,Repeated misconception on overriding dispatch.
INT033,demo_repeater,C005,assessment,Q_C005_A1,overriding is overload,false,4,2,M009,,Third repeated misconception on C005.
INT034,demo_repeater,C005,tutor_confusion,,overriding is same class different parameters,false,3,0,M009,misconception-focused reframe,Tutor used targeted contrast for repeated misconception.
INT035,demo_repeater,C004,assessment,Q_C004_B1,A,true,3,1,,,Can identify overloading when isolated.
INT036,demo_repeater,C004,assessment,Q_C004_A1,no parameter must differ,true,3,1,,,Correct after hint on return type rule.
INT037,demo_repeater,C006,assessment,Q_C006_I1,Animal,false,3,1,M011,,Runtime dispatch still weak.
INT038,demo_repeater,C006,assessment,Q_C006_A1,same as inheritance,false,3,2,M012,,Polymorphism/inheritance conflated.
INT039,demo_repeater,C001,assessment,Q_C001_B1,A,true,4,0,,,Object creation mastered.
INT040,demo_repeater,C001,assessment,Q_C001_A2,each object has fields,true,3,1,,,Explained instance state with support.
INT041,demo_repeater,C002,assessment,Q_C002_B1,B,true,4,0,,,Private access identified.
INT042,demo_repeater,C002,assessment,Q_C002_A1,encapsulation validates,true,3,1,,,Validation explanation with hint.
