question_id,concept_id,prompt,question_type,difficulty,options,correct_answer,explanation,misconception_id
Q_C001_B1,C001,Which Java line creates an object from the Student class?,MCQ,Basic,A. Student s = new Student();|B. class Student {}|C. Student = class();|D. object Student;,A,"new Student() constructs an instance and assigns its reference.",M001
Q_C001_B2,C001,What is a class in Java?,Short answer,Basic,,blueprint|fields|methods,"A class is a blueprint that defines fields and methods for objects.",M001
Q_C001_I1,C001,Code tracing: Student s; by itself creates which thing?,Code tracing,Intermediate,,reference|declaration|not object,"A declaration creates a variable/reference, not a constructed object.",M002
Q_C001_I2,C001,Complete the code: Student s = ____ Student();,Code completion,Intermediate,,new,"The new keyword constructs the object instance.",M001
Q_C001_A1,C001,Scenario: A learner says class Student already creates one student. Explain the correction.,Scenario explanation,Advanced,,class blueprint|object instance|new,"The class defines the type; Java creates an individual object only when code constructs one.",M001
Q_C001_A2,C001,Why can two Student objects have different names if they use the same class?,Short answer,Advanced,,instance fields|separate objects|state,"Each object has its own instance field values even though both share the same class definition.",M002
Q_C002_B1,C002,Which modifier best prevents direct outside access to a field?,MCQ,Basic,A. public|B. private|C. void|D. new,B,"private restricts direct field access to the declaring class.",M003
Q_C002_B2,C002,What is the main purpose of encapsulation?,Short answer,Basic,,protect state|controlled access|private,"Encapsulation protects object state behind controlled methods.",M004
Q_C002_I1,C002,Complete the getter: public int getBalance(){ return ____; },Code completion,Intermediate,,balance,"A getter can return the private field through controlled access.",M003
Q_C002_I2,C002,Code tracing: account.balance is private. Can unrelated outside code assign account.balance = -5?,Code tracing,Intermediate,,no|private|cannot access,"Outside code cannot directly assign a private field.",M004
Q_C002_A1,C002,Scenario: A setter rejects negative balances. Which OOP principle is being used and why?,Scenario explanation,Advanced,,encapsulation|validation|private,"The object protects its invariant by validating before changing private state.",M003
Q_C002_A2,C002,Why is a public field weaker than a private field with a validating setter?,Short answer,Advanced,,validation|controlled access|protect state,"A public field allows uncontrolled mutation; a validating setter keeps a controlled boundary.",M004
Q_C003_B1,C003,Which Java keyword declares that Dog inherits from Animal?,MCQ,Basic,A. implements|B. extends|C. inherits|D. imports,B,"extends creates a subclass relationship in Java.",M005
Q_C003_B2,C003,Inheritance should usually represent what relationship?,Short answer,Basic,,is-a|subclass|superclass,"Inheritance is strongest when the subclass is a kind of the superclass.",M005
Q_C003_I1,C003,Code tracing: class B extends A and B does not define f(). What runs for new B().f() if A has f()?,Code tracing,Intermediate,,A|parent|inherited,"B inherits accessible behavior from A when it does not override it.",M006
Q_C003_I2,C003,Complete the declaration: class Dog ____ Animal { },Code completion,Intermediate,,extends,"Java uses extends for class inheritance.",M005
Q_C003_A1,C003,Scenario: A Car uses an Engine. Should Car extend Engine? Explain.,Scenario explanation,Advanced,,no|composition|has-a,"Car has an engine, so composition is clearer than inheritance.",M005
Q_C003_A2,C003,Why might a subclass be unable to directly read a private field declared in its parent?,Short answer,Advanced,,private|access|getter|protected,"Private parent fields are not directly accessible to subclasses; use exposed behavior instead.",M006
Q_C004_B1,C004,Which pair is method overloading?,MCQ,Basic,A. print(int x) and print(String x)|B. speak() in parent and child|C. class Dog extends Animal|D. private int age,A,"Overloading uses the same method name with different parameter lists.",M007
Q_C004_B2,C004,What must differ for Java methods to be overloaded?,Short answer,Basic,,parameter list|signature,"Java overloads methods by different parameter lists/signatures.",M007
Q_C004_I1,C004,Complete the overload: void print(int x) and void print(____ x),Code completion,Intermediate,,String,"Changing the parameter type creates a different signature.",M007
Q_C004_I2,C004,Code tracing: call print(5) when print(int) and print(String) exist. Which overload is selected?,Code tracing,Intermediate,,print int|int,"The int argument selects the print(int) overload.",M008
Q_C004_A1,C004,Scenario: A learner writes int total() and double total(). Is this valid overloading? Explain.,Scenario explanation,Advanced,,no|return type|parameter,"Changing only return type is not enough; the parameter list must differ.",M007
Q_C004_A2,C004,Why is overloading considered compile-time selection?,Short answer,Advanced,,compile time|signature|parameter,"Java chooses an overloaded method from the call signature known at compile time.",M008
Q_C005_B1,C005,Which annotation often marks a method that replaces a parent method?,MCQ,Basic,A. @Static|B. @Override|C. @Private|D. @Object,B,"@Override checks that a method truly overrides a superclass method.",M010
Q_C005_B2,C005,Overriding occurs between which two classes?,Short answer,Basic,,subclass|superclass|parent|child,"A subclass overrides a compatible method from a superclass.",M009
Q_C005_I1,C005,Code tracing: Parent p = new Child(); p.speak(); Child overrides speak. Which version runs?,Code tracing,Intermediate,,Child,"Runtime dispatch calls the overriding method on the actual Child object.",M009
Q_C005_I2,C005,"Complete the rule: to override, method name and compatible ____ must match.",Code completion,Intermediate,,signature,"The method signature must be compatible with the superclass method.",M010
Q_C005_A1,C005,Scenario: A learner says overriding means same method name with different parameters. Correct them.,Scenario explanation,Advanced,,overloading|overriding|same signature|parent,"Different parameters describe overloading; overriding replaces a parent method with a compatible signature.",M009
Q_C005_A2,C005,Why is @Override useful even though it does not create overriding by itself?,Short answer,Advanced,,compiler check|detect mistake|signature,"The annotation lets the compiler detect when the method does not actually override.",M010
Q_C006_B1,C006,Polymorphism lets one reference type point to objects that behave how?,MCQ,Basic,A. Always identically|B. Differently at runtime|C. Only as integers|D. Without methods,B,"Polymorphism allows runtime-specific behavior through a common type.",M011
