rule_id,trigger_condition,learner_evidence_used,selected_action,expected_profile_update,educator_visibility,explanation
AR001,mastery below 40,concept mastery score,simplified explanation,increase support level and recommend prerequisite review,visible in learner profile,Weak mastery indicates the learner needs reduced cognitive load before harder practice.
AR002,mastery between 40 and 69,concept mastery score,step-by-step explanation,continue current concept with guided example,visible in learner profile,Developing mastery benefits from worked sequence and near-transfer practice.
AR003,mastery 70 or above,concept mastery score,advanced application,raise challenge level and preserve momentum,visible in learner profile,Strong mastery should receive deeper transfer rather than basic repetition.
AR004,confidence 2 or below,recent confidence history,analogy,stabilize confidence and ask diagnostic check,visible in evidence timeline,Low confidence means the learner may need a familiar analogy and confirmation question.
AR005,incorrect answer with confidence 4 or 5,correctness plus confidence,corrective explanation plus diagnostic question,record confident misconception risk,visible as alert when repeated,High-confidence errors are stronger misconception evidence than low-confidence errors.
AR006,same misconception appears twice,recent misconception ids,misconception-focused reframe,prioritize targeted contrast,visible as repeated misconception alert,Repeated misconception evidence needs a contrast between tempting and correct ideas.
AR007,three incorrect attempts on same concept,recent correctness,easier consolidation question,lower difficulty and trigger remediation,visible as repeated incorrect alert,Repeated errors should reduce difficulty and provide consolidation.
AR008,correct after low confidence or quick reversal,confidence plus correctness,confidence-building check,small mastery gain and ask learner to explain reasoning,visible in profile reason,A correct answer with weak confidence still needs consolidation.
AR009,six or more recent hints,hint usage,prerequisite review,reduce mastery gain and recommend reteach,visible as excessive hint alert,High hint usage means the learner may be depending on scaffolds.
AR010,two recent correct high-confidence answers,recent accuracy plus confidence,challenge question,increase difficulty and mastery opportunity,visible as advanced readiness when sustained,Strong evidence supports harder assessment.
AR011,current level ADVANCED and mastery above 75,current level plus mastery,advanced application,avoid basic material and offer transfer task,visible in educator dashboard,Advanced learners should not receive unnecessary beginner review.
AR012,out-of-scope or direct-answer request,scope detection or safeguard phrase,responsible refusal or guided hint,no mastery gain and log safeguard,visible in AI usage log,Safeguards keep the tutor within the OOP module and avoid giving final answers during assessment.
