chunk_id,concept_id,concept_name,source_title,source_document,page_or_section,content,keywords
KC001,C001,Classes and Objects,Java OOP Foundations: Classes and Objects,oop_source_01_classes_objects.md,Section 1,"A class is a Java blueprint that defines fields and methods. It describes what objects of that type can store and do.",class object blueprint fields methods
KC002,C001,Classes and Objects,Java OOP Foundations: Classes and Objects,oop_source_01_classes_objects.md,Section 1,"An object is a runtime instance created from a class. The expression Student s = new Student(); creates an object and stores a reference.",object instance new constructor reference
KC003,C001,Classes and Objects,Java OOP Foundations: Classes and Objects,oop_source_01_classes_objects.md,Section 2,"A constructor initializes object state when Java creates an instance. Constructors have the same name as the class and no return type.",constructor initialize instance state
KC004,C001,Classes and Objects,Java OOP Foundations: Classes and Objects,oop_source_01_classes_objects.md,Section 2,"Instance fields belong to each object. Static members belong to the class itself and are shared rather than copied per object.",instance static field class object
KC005,C002,Encapsulation,Java OOP Foundations: Encapsulation and Inheritance,oop_source_02_encapsulation_inheritance.md,Section 1,"Encapsulation keeps object state behind a clear boundary. Private fields and public methods work together to control access.",encapsulation private public access boundary
KC006,C002,Encapsulation,Java OOP Foundations: Encapsulation and Inheritance,oop_source_02_encapsulation_inheritance.md,Section 1,"A getter can expose read access to private state without allowing outside code to directly mutate the field.",getter private state controlled access
KC007,C002,Encapsulation,Java OOP Foundations: Encapsulation and Inheritance,oop_source_02_encapsulation_inheritance.md,Section 1,"A setter can validate input before changing a private field, so the object protects its own invariants.",setter validate private field invariant
KC008,C002,Encapsulation,Java OOP Foundations: Encapsulation and Inheritance,oop_source_02_encapsulation_inheritance.md,Section 1,"Encapsulation is not perfect security. It is a design practice for reducing accidental misuse and making code easier to maintain.",encapsulation security design misuse maintain
KC009,C003,Inheritance,Java OOP Foundations: Encapsulation and Inheritance,oop_source_02_encapsulation_inheritance.md,Section 2,"Inheritance models an is-a relationship. In Java, a subclass uses extends to inherit accessible behavior from a superclass.",inheritance extends subclass superclass is-a
KC010,C003,Inheritance,Java OOP Foundations: Encapsulation and Inheritance,oop_source_02_encapsulation_inheritance.md,Section 2,"A subclass can add fields or methods while reusing behavior from its parent class.",subclass parent reuse behavior fields methods
KC011,C003,Inheritance,Java OOP Foundations: Encapsulation and Inheritance,oop_source_02_encapsulation_inheritance.md,Section 2,"Inheritance should not be used only because two classes share code. If the relationship is has-a, composition is usually clearer.",inheritance composition has-a reuse design
KC012,C003,Inheritance,Java OOP Foundations: Encapsulation and Inheritance,oop_source_02_encapsulation_inheritance.md,Section 2,"A child class does not inherit private fields as directly accessible members, but it can use public or protected behavior provided by the parent.",private protected public inherit access
KC013,C004,Method Overloading,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 1,"Method overloading uses the same method name with different parameter lists. Java resolves the call using the method signature.",overloading same name parameters signature
KC014,C004,Method Overloading,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 1,"Changing only a return type does not overload a Java method. The parameter list must differ.",overloading return type parameter list
KC015,C004,Method Overloading,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 1,"Overloading is commonly used for convenience, such as print(int value) and print(String value).",overloading convenience int string method
KC016,C004,Method Overloading,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 1,"Overloaded method selection happens from compile-time information, not from runtime subclass dispatch.",overloading compile time selection signature
KC017,C005,Method Overriding,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 2,"Method overriding occurs when a subclass provides a compatible replacement for a superclass method.",overriding subclass superclass replacement method
KC018,C005,Method Overriding,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 2,"The @Override annotation helps Java detect whether a method truly overrides a parent method.",override annotation parent method detect
KC019,C005,Method Overriding,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 2,"To override, the method name and compatible parameter signature must match the superclass method.",overriding signature same parameters
KC020,C005,Method Overriding,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 2,"Overriding supports specialized subclass behavior while preserving a common method contract.",overriding subclass behavior contract
KC021,C006,Polymorphism,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 3,"Polymorphism lets one reference type work with different object types that share a parent type or interface.",polymorphism reference type interface parent
KC022,C006,Polymorphism,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 3,"When a parent reference points to a child object, Java uses the actual object type to choose an overridden method at runtime.",polymorphism runtime dispatch object type
KC023,C006,Polymorphism,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 3,"Dynamic dispatch is the runtime mechanism that makes overriding behave polymorphically.",dynamic dispatch runtime overriding polymorphism
KC024,C006,Polymorphism,Java OOP Foundations: Overloading Overriding and Polymorphism,oop_source_03_polymorphism_overloading_overriding.md,Section 3,"Polymorphism helps code depend on common behavior while allowing each subclass to respond in its own way.",polymorphism common behavior subclass response
