Chunk ID,Concept ID,Source Page,Chunk Text Content
CH002,C001,6,"Object-oriented ProgrammingObjectives: To impart the skills needed for Object Oriented programming and Console applications development. Student canmap real world objects into programming objects. Implement the concept of reusability and data security. Learn user filemanagement containing data.Sr. No. Description 1. Review: Review of Basic Concepts of Object-oriented Programming & Introduction of OOP Languages, Comparison between Procedural Programming Paradigm and Object-oriented Programming Paradigm. 2. Beginning with OOP Language: Review of Tokens, Expressions, Operators & Control Structures. Scope Resolution Operator, Member Dereferencing Operator, Reference Variables. Review of Functions, Function Overloading, Inline Functions, Default Arguments. 3. Classes & Objects: Specifying a Class, Defining Member Functions, Creating Class Objects, Accessing Class Members. Access Specifies – Public, Private, and Protected Classes, Its Members, Objects and Memory Allocation 4. Static Members, the Const Keyword and Classes, the Static Objects. Friend Function & its Usage Empty Classes, Nested Classes, Local Classes. 5. Constructors & Destructors: Need for Constructors and Destructors, Copy Constructor, Dynamic Constructors, Destructors, Constructors and Destructors with Static Members. 6. Operator Overloading & Type Conversion: Defining Operator Overloading, Rules for Overloading Operators, Overloading of Unary Operators and various Binary Operators with Friend Functions and Member Functions. Type Conversion – Basic Type to Class Type, Class Type to Basic Type, Class Type to another Class Type. 7. Inheritance: Introduction, Defining Derived Classes, Forms of Inheritance, Ambiguity in Multiple and Multipath Inheritance, Virtual Base Class, Overriding Member Functions, Order of Execution of Constructors and Destructors Virtual Functions & Polymorphism: Virtual Functions, Pure Virtual Functions, Abstract Classes, Introduction to Polymorphism 8. Pointers & Dynamic Memory Management: Understanding Pointers, Accessing Address of a Variable, Declaring & Initializing Pointers, Pointer to a Pointer, Pointer to a Function, Dynamic Memory Management – New and Delete Operators, this Pointer. 9. Console I/O: Concept of Streams, Hierarchy of Console Stream Classes, Unformatted I/O Operations, Managing Output with Manipulators. 10. Working with Files: Opening, Reading, Writing, Appending, Processing & Closing difference Type of Files, Command Line Arguments."
CH017,C001,22,"15 Unit 1: Review of Object-oriented Programming Notesemerging towards a model-based testing approach. This would offer a whole range of applications for the technology products companies. Mr Balaswamy, General Manager of Arithnet, said there had been significant growth in MBT in the last few years due to the popularity of object-oriented programming and models in software engineering. Explaining the advantages of MBT, Prof. Petrenko said in the traditional testing, a model of the application to be tested is implicit only in the testers mind. MBT takes the model out of the testers mind making it more useful for multiple testing tasks, shareable, reusable and describing more precisely the system to be tested. These tool kits are integrated into popular integrated development environments such as Visual Studio from Microsoft or Forte from Sun Microsystems and support all phases of MBT model based testing— specifications, test design, test care generation from specifications, test execution and automatic analysis of outcome. ATS has entered into a technical collaboration with the Institute For Systems Programming of the Russian Academy of Sciences, Moscow, for development of several software testing related products. While reaching out its MBT solutions, ATS provides services right from consultancy services, outsourced testing services as also training for corporations. “We are hosting interactive meetings with technology companies in Hyderabad to enable them to benefit from our solutions,” Mr Immannuel Selvaraj, International Marketing Manager, Arithnet, said. 1.8 Summary Programming practices have evolved considerably over the past few decades. By the end of last decade, millions and millions lines of codes have been designed and implemented all over the word. The main objective is to reuse these lines of codes. More and more software development projects were software crisis. It is this immediate crisis that necessitated the development of object-oriented approach which supports reusability of the existing code. Software is not manufactured. It is evolved or developed after passing through various developmental phases including study, analysis, design, implementation, and maintenance. Conventional programming using high level languages such as COBOL, FORTRAN and C is commonly known as procedures-oriented programming. In order to Solve a problem, a hierarchical decomposition has been used to specify the tasks to be completed. OOP is a method of designing and implementing software. Since OOP enables you to remain close to the conceptual, higher-level model of the real world problem, your can manage the complexity better than with approaches that force you to map the problem to fit the features of the language. Some essential concepts that make a programming approach object-oriented are objects, classes, Data abstraction, Data encapsulation, Inheritance, Polymorphism, dynamic binding and message passing. The data and the operation of a class can be declosed public, protected or private. OOP provides greater programmer productivity, better quality of software and lesser maintenance cost."
CH021,C001,26,"Beginning of OOP LanguageNotes Explain the operators Discuss the control structures Explain the scope resolution operator Describe the member dereferencing operator Recognize the reference variableIntroductionC++ is a language in essence. It is made up of letters, words, sentences, and constructs just likeEnglish language. This unit discusses these elements of the C++ language along with the operatorsapplicable over them.2.1 Review of TokensAs we know, the smallest individual units in a program are known as tokens. C++ has thefollowing tokens:1.Keywords2.Identifiers3.Constants4.Strings5.OperatorsA C++ program is written using these tokens, white spaces, and the syntax of the language. Mostof the C++ tokens are basically similar to the C tokens with the exception of some additions andminor modifications. Did u know? How tokens are being separated?Tokens are usually separated by “white space.” White space can be one or more:(a)Blanks(b)Horizontal or vertical tabs(c)New lines(d)Formfeeds(e)Comments2.1.1KeywordsThe keywords implement specific C++ language features. They are explicitly reserved identifiersand cannot be used as names for the program variables or other user-defined program elements.Table 2.1 gives the complete set of C++ keywords. The keywords not found in ANSI C are shownboldface. These keywords have been added to the ANSI C keywords in order to enhance itsfeatures making it an object-oriented language."
CH025,C001,33,"26 2.3.2Assignment OperatorsOperatorDescriptionExampleExplanation=Assign the value of thea = bAssigns the value of b to aright operand to the left+=Adds the operands anda +=bAdds the of b to aassigns the result to theThe expression could also beleft operand written as a = a+b–=Subtracts the righta -=bSubtracts b from aoperand from the leftEquivalent to a = a-boperand and stores theresult in the left operand*=Multiplies the left operanda*=bMultiplies the values a and b bystores the result in the leftthe right operand andoperandand stores the result in aEquivalent to a = a*b/=Divides the left operanda/=bDivides a by b and stores thestores the result in the leftby the right operand andoperandresult in a Equivalent to a = a/b*=Divides the left operanda%=bDivides a by b and stores thestores the remainder inby the right operand andthe left operandremainder in aEquivalent to a = x%yAny of the operators used as shown below:A <operator>=ycan also be represented asa=a <operator> bthat is, b is evaluated before the operation takes place.You can also assign values to more than one variable at the same time. The assignment will takeplace from the right to the left. For example,a = b = 0;In the example given above, first b will be initialized and then a will be initialized. Did u know? What is self assignment?Self assignment is when someone assigns an object to itself. For example, #include “Fred.h” // Defines class Fred void userCode(Fred& x) { x = x; // Self-assignment }"
CH026,C001,35,"28 Notes The operators, ‘++’ and ‘—’ , are best used in simple expressions like the ones shownabove.2.3.4Comparison OperatorsComparison operators evaluate to true or false.OperatorDescriptionExampleExplanation==Evaluates whether theA==bReturns true if the valuesoperands are equal.are equal and falseotherwise!=Evaluates whether thea!=yReturns true if the valuesoperands are not equalare not equal and falseotherwise>Evaluates whether thea>bReturns true if a is greaterleft operand is greaterthan b and falsethan the right operand<Evaluates whether thea<bReturns true if a is greaterleft operand is less thanthan or equal to b and falsethe right operandotherwise>=Evaluates whether thea>=bReturns true if a is greaterleft operand is greaterthan or equal to b and falsethan or equal to theotherwiseright operand<=Evaluates whether theA<=bReturns true if a is lessleft operand is less thanthan or equal to b and falseor equal to the rightotherwise.OperandExample:#include <iostream>using namespace std;int main (){ int a, b=3; a = b; a+=2; // equivalent to a=a+2 cout << a; return 0;}"
CH027,C001,37,"30 10/23, which is equivalent to 1.When you do a left shift by 3 (10 << 3), the result is0101000010*23, which is equivalent to 80Shifting Negative NumbersFor negative numbers, the unused bits are initialized to 1. Therefore, –10 is represented as:111101102.3.6Bit-wise OperatorsOperatorDescriptionExampleExplanation&Evaluates to a binarya & bAND results in a 1 if both(AND)value after a bit-wisethe bits are 1, any otherAND on the operandscombination results in a 0! Evaluates to binarya ! bOR results in a 0 when(OR)value after aboth the bit-wise OR ontwo operandsthe bits are 0, any othercombination results in a 1.^Evaluates to a binarya ^ bXOR results in a 0 if both(XOR)value after a bit-wisethe bits are of the sameXOR on the two operandsvalue and 1 if the bits havedifferent values.~Converts all 1 bits to 0s andExample given below.(inversion)all 0 bits to 1sIn the example shown in the table, a and b are integers and can be replaced with expressions thatgive a true or false (boo1) result.Example: When both the expressions evaluate to true, the result of using the & operatoris true. Otherwise, the result is false.The ~ OperatorIf you use the ~ operator, all the 1a in the bite are converted to 0s and vice versa. For example,10011001 would become 01100110.2.3.7Logical OperatorsUse logical operators to combine the results of Boolean expressions.OperatorDescriptionExampleExplanation&&Evaluates to true, ifa>6&&y<20The result is true ifboth the conditions evaluatecondition 1 (a>6) andto true, false otherwisecondition 2 (y<20) areboth true. If one of them isfalse, the result is false."
CH029,C001,41,"34 The statement can be either simple or compound. In practice, it is often a compound statement,which may include other control statements. For example, consider the following program:#include <iostream.h>int main(){char chr;cout << “Please enter a character:” ;cin >> chr;if (chr == ‘X’)cout << end1 << “The character is X”;elsecout << end1 << “The character is not X”;return 0;}Note that the operator, ==, used for comparing two data items, is different from the assignmentoperator, =,In an if-else block of statements, the condition is evaluated first. If the condition is true (value isnon-zero), the statements in the immediate block are executed, if the condition is false (value iszero) the statements in the else block are executed.In the above example, if the input character is ‘X’, the message displayed is, ‘the character is X’otherwise, the message, ‘The character is not X’ is displayed. Also, note that the condition has tobe specified within parenthesis.If, however, the operator, =, is used instead of the operator, ==, the statement is executed as anassignment. For example, if the statement, if (chr == ‘X’), was written as, if (chr = ‘X’), then, chrwould have been assigned the value, ‘X’ and the condition would be evaluated as true. Thus, themessage, the character is ‘X’ would have been displayed, regardless of the input.This program could also have been written as given below:#include <iostream.h>int main(){char chr;cout << “Please enter a character: “;cin >> chr;if (chr != ‘X’)cout << end1 << “The character is no X”;elsecout << end1 << “The character is X”;return 0;}"
CH030,C001,43,"36 else{cout << end1 << “input character > z but less than a”;}else{ cout << end1 << “Input character less than A”;}return 0;}The following program shows how the clarity of steps can be increased by using braces ({and})for enclosing parts of the code that follow an if or an else statement.#include <inostream.h>int main(){char inp;cout << “Enter a character: “;cin >> inp;if (inp >= ‘A’){if (inp <= ‘z’){cout << end1 << “Uppercase”;}else if (inp >= ‘a’){if (inp <= ‘z’){cout << end1 << “Lowercase”;}}}return 0;}if (circle) {scanf ( ‘ &f‘ , & radius);area = 3. 14159 * radius * radius;"
CH031,C001,45,"38 cout <, endl << “ Vowel u” << endl;elsecout << endl << “ The character is not a Vowel” << endl;return o;}2.4.2LoopingThe while statement is used to carry out operations, in which a group of statements is executedrepeatedly, till a condition is satisfied.The general form of the while statement is:while (expression) statement;The statement will be executed repeatedly, as long as the expression is true (i.e., as long expressionhas a nonzero value). This statement can be simple or compound, through it is usually a compoundstatement. It must include some feature that eventually alters the value of the expression, thusproviding a stopping condition for the loop. Did u know? What is the common error while using the while loop?A common error when using the while loop is to forget to do anything that might changethe value being tested on while statement from within the loop. If the variable beingtested is not changed within the loop then the condition will either never be true and theloop will therefore never get executed or it will always be true and will execute forever.Consecutive Integer QuantitiesIn this example, we try to display the consecutive digits 0,1,2, . . . . 9.# include < iostream.h >main ( )/ * display the integers 0 through 9 * /{int digit =0;while ( digit < = 9){ cout<<digit<<endl;++ digit;}}Initially, a digit is assigned a value of 0. The while loop then displays the current value digit,increase its value by 1 and then repeats the cycle, until the value of digit exceeds 9. The net effectis that the body of the loop will be repeated 10 times, resulting in 10 consecutive lines of output.Each line will contain a successive integer value, beginning and ending with 9. Thus, when theprogram is executed, the following output will be generated."
CH033,C001,49,"42 # include <iostream.h>int main ( ){int constant, vowel ;char inp ;consonant = vowel 0 ;do{inp = ‘ ;cout << endl. << “ Enter a character ( ! to quit ) “;cin >> inp;switch ( inp){case ‘A‘:case ‘a‘:case ‘E‘:case ‘e‘:case ‘I‘:case ‘i‘:case ‘O‘:case ‘o‘:case ‘U‘:case ‘u‘:vowel = vowel + 1;break ;case ‘ !‘:break;default:consonant = consonant + 1;}} while ( inp ! = ‘!‘)if ( constant > vowel )cout << endl << “ Consonant count greater than vowel count” ;else if ( consonant < vowel )cout << endl < “ Vowel count greater than consonant count”;else cout << endl << “ Vowel ! and consonant counts are equal “;return 0;}"
