,Chunk ID,Concept ID,Source Page,Chunk Text Content
0,CH001,C001,1,"OOPs through JAVA MRCET CAMPUS MALLA REDDY COLLEGE OF ENGINEERING & TECHNOLOGY Autonomous Institution – UGC, Govt. of India DEPARTMENT OF COMPUTATIONAL INTELLIGENCE (CSE-AIML) B. TECH (R-22 Regulation) (II YEAR – II SEM) 2024-25 Object Oriented Programming through JAVA (R22A0507 ) LECTURE NOTES MALLA REDDY COLLEGE OF ENGINEERING & TECHNOLOGY (Autonomous Institution – UGC, Govt. of India) Recognized under 2(f) and 12(B) of UGC ACT 1956 (Affiliated to JNTUH, Hyderabad, Approved by AICTE-Accredited by NBA & NAAC – ‘A’ Grade - ISO 9001:2015 Certified) Maisammaguda, Dhulapally (Post Via. Hakimpet), Secunderabad–500100, Telangana State, India"
1,CH002,C001,2,"OOPs through JAVA MRCET CAMPUS R-22 Department of Computer Science and Engineering Vision  To acknowledge quality education and instill high patterns of discipline making the students technologically superior and ethically strong which involves the improvement in the quality of life in human race. Mission  To achieve and impart holistic technical education using the best of infrastructure, outstanding technical and teaching expertise to establish the students in to competent and confident engineers.  Evolving the center of excellence through creative and innovat ive teaching learning practices for promoting academic achievement to produce internationally accepted competitive and world class professionals."
2,CH003,C001,3,"MALLA REDDY COLLEGE OF ENGINEERING & TECHNOLOGY DEPARTMENT OF CSE (COMPUTATIONAL INTELLIGENCE) II Year B.Tech. CSE(AIML)- II Sem L/T/P/C 3/-/-/3 (R22A0507) OBJECT ORIENTED PROGRAMMING THROUGH JAVA COURSE OBJECTIVES:  The objective of this course is to provide object oriented concepts through which robust, securedand reusable software can be developed.  To understand object oriented principles like abstraction, encapsulation, inheritance, polymorphism and apply them in solving problems.  To understand the principles of inheritance and polymorphism and demonstrate how they relate to the design of abstract classes.  To understand the implementation of packages and interfaces.  To understand the concepts of exception handling, multithreading and collection classes.  To understand how to connect to the database using JDBC.  To understand the design of Graphical User Interface using applets and swing controls. UNIT-I Java ProgrammingHistory of Java, comments, Data types, Variables, Constants, Scope and Lifetime of variables, Operators, Type conversion and casting, Enumerated types, Control flowblock scope, conditional statements, loops, break and continue statements, arrays, simple java stand alone programs, class, object, and its methods constructors, methods, static fields and methods, access control, this reference, overloading constructors, recursion, exploring string class, garbage collection. UNIT – II Inheritance – Inheritance types, super keyword, preventing inheritance: final classes and methods.. Polymorphism – method overloading and method overriding, abstract classes and methods. InterfacesInterfaces Vs Abstract classes, defining an interface, implement interfaces, accessing implementations through interface references, extending interface, inner class. PackagesDefining, creating and accessing a package, importing packages. UNIT-III Exception handling-Benefits of exception handling, the classification of exceptions - exception hierarchy, checked exceptions and unchecked exceptions, usage of try, catch, throw, throws and finally, creating own exception subclasses. Multithreading – Differences between multiple processes and multiple threads, thread life cycle, creating threads, interrupting threads, thread priorities, synchronizing threads, inter-thread communication, producer consumer problem. UNIT-IV Collection Framework in Java – Introduction to java collections, Overview of java collection framework, Commonly used collection classesArray List, Vector, Hash table, Stack, Lambda Expressions. FilesStreams- Byte streams, Character streams, Text input/output, Binary input/output, File management using File class. Connecting to Database – JDBC Type 1 to 4 drivers, Connecting to a database, querying a database and processing the results, updating data with JDBC."
3,CH004,C001,4,"UNIT-V GUI Programming with Swing - The AWT class hierarchy, Introduction to Swing, Swing Vs AWT, Hierarchy for Swing components, Overview of some Swing components – Jbutton, JLabel, JTextField, JTextArea, simple Swing applications, Layout management – Layout manager types – border, grid and flow Event Handling - Events, Event sources, Event classes, Event Listeners, Delegation event model, Examples: Handling Mouse and Key events, Adapter classes. TEXT BOOK: 1. JavaFundamentals–AComprehensiveIntroduction,HerbertSchildtandDaleSkrien,TMH. 2. Core Java: An Integrated Approach – Dr R Nageswara Rao REFERENCE BOOKS: 1. Java for Programmers, P.J.Deitel and H.M.Deitel, PEA (or) Java: How to Program , P.J.Deitel and H.M.Deitel,PHI 2. ObjectOrientedProgrammingthroughJava,P.RadhaKrishna,UniversitiesPress. 3. Thinking in Java, Bruce Eckel,PE 4. Programming in Java, S. Malhotra and S. Choudhary, Oxford UniversitiesPress. 5. Design Patterns Erich Gamma, Richard Helm, Ralph Johnson and John Vlissides. COURSE OUTCOMES: 1. A competence to design, write, compile, test and execute straight forward programs using a high level language; 2. An appreciation of the principles of object oriented programming; 3. Be able to implement, compile, test and run Java programs comprising more than one class, to address a particular software problem. 4. Demonstrate the ability to employ various types of selection constructs in a Java program. Be able to employ a hierarchy of Java classes to provide a solution to a given set of requirements."
4,CH005,C001,5,"MALLA REDDY COLLEGE OF ENGINEERING & TECHNOLOGY DEPARTMENT OF CSE (Computational Intelligence) INDEX S. No Unit Topic Page no 1 I OOP Concepts:- Data abstraction, encapsulation inheritance 1 2 I Benefits of Inheritance 2 3 I Polymorphism, classes and objects 2 4 I Procedural and object oriented programming paradigms 3 5 I Java ProgrammingHistory of Java 4 6 I Comments, Data types, Variables, Constants 5-9 7 I Scope and Lifetime of variables 10 8 I Operators, Operator Hierarchy, Expressions 11-12 9 I Type conversion and casting, Enumerated types 12-13 10 I Control flowblock scope, conditional statements, loops, break and continue statements 13-14 11 I Simple java stand alone programs, arrays 14-18 12 I Console input and output, formatting output 18-19 13 I Constructors, methods, parameter passing 19-20 14 I Static fields and methods, access control, this reference, 21-30 15 I Overloading methods and constructors, recursion, garbage collection, 30-34 16 I Building strings, exploring string class. 34-36"
5,CH006,C001,6,"S. No Unit Topic Page no 17 II Inheritance – Inheritance hierarchies super and sub classes, Member access rules 37-40 18 II super keyword, preventing inheritance: final classes and methods, the Object class and its methods. 40-41 19 II Polymorphism – dynamic binding, method overriding, 41-42 20 II abstract classes and methods. 43 21 II InterfacesInterfaces Vs Abstract classes, defining an interface, implement interfaces 43-44 22 II Accessing implementations through interface references, extending interface. 45 23 II Inner classesUses of inner classes, local inner classes 45-46 24 II Anonymous inner classes, static inner classes, examples. 46 25 II PackagesDefining, creating and accessing a package, 46-47 26 II Understanding CLASSPATH, importing packages. 47 27 III Exception handlingDealing with errors, benefits of exception handling 48 28 III The classification of exceptionsexception hierarchy, checked exceptions and unchecked exceptions 48-50 29 III Usage of try, catch, throw, throws and finally, 50-54 30 III Rethrowing exceptions, exception specification, 54 31 III Built in exceptions, creating own exception sub classes. 54 32 III Multithreading – Differences between multiple processes and multiple threads, thread states 55-56 33 III Creating threads, interrupting threads, thread priorities, synchronizing threads 56-59 34 III Inter-thread communication, producer consumer pattern 59 35 III Exploring java.net and java.text. 60"
6,CH007,C001,7,"S. No Unit Topic Page no 36 IV Collection Framework in Java – Introduction to java collections, Overview of java collection framework, Generics 62 37 IV Commonly used collection classesArray List, Vector, Hash table, Stack, Enumeration, Iterator 63-71 38 IV String Tokenizer, Random, Scanner, Calendar and Properties. 71-76 39 IV FilesStreams- Byte streams, Character streams, Text input/output, Binary input/output 77-82 40 IV Random access file operations, File management using File class. 83-84 41 IV Connecting to Database – JDBC Type 1 to 4 drivers, Connecting to a a database, 85-88 42 IV Querying a database and processing the results, updating data with JDBC. 89-94 43 V GUI Programming with JavaThe AWT class hierarchy, Introduction to Swing, Swing Vs AWT, Hierarchy for Swing components 95-100 44 V Containers – Jframe, JApplet, JDialog, JPanel 100-104 45 V Overview of some Swing components – Jbutton, JLabel, JTextField, JTextArea, simple Swing applications, 104-108 46 V Layout management – Layout manager types – border, grid and flow 109-111 47 V Event HandlingEvents, Event sources, Event classes, Event Listeners, 111-112 48 V Relationship between Event sources and Listeners, Delegation event model, 112-113 49 V Handling a button click, Handling Mouse events, Adapter classes. 114-116 50 V Applets – Inheritance hierarchy for applets 118-119 51 V Differences between applets and applications, Life cycle of an applet, 120 52 V Passing parameters to applets, applet security issues. 121"
7,CH008,C001,8,"JAVA PROGRAMMING Page 1 MALLA REDDY COLLEGE OF ENGINEERING & TECHNOLOGY DEPARTMENT OF CSE (Computational Intelligence) Unit-1 OOP Concepts Object Oriented Programming is a paradigm that provides many concepts such as inheritance, data binding, polymorphism etc. Simula is considered as the first object-oriented programming language. The programming paradigm where everything is represented as an object is known as truly object-oriented programming language. Smalltalk is considered as the first truly object-oriented programming language. OOPs (Object Oriented Programming System) Object means a real word entity such as pen, chair, table etc. Object-Oriented Programming is a methodology or paradigm to design a program using classes and objects. It simplifies the software development and maintenance by providing some concepts: o Object o Class o Inheritance o Polymorphism o Abstraction o Encapsulation Object Any entity that has state and behavior is known as an object. For example: chair, pen, table, keyboard, bike etc. It can be physical and logical. Class Collection of objects is called class. It is a logical entity. Inheritance When one object acquires all the properties and behaviours of parent object i.e. known as inheritance. It provides code reusability. It is used to achieve runtime polymorphism."
8,CH009,C001,9,"JAVA PROGRAMMING Page 2 Polymorphism When one task is performed by different ways i.e. known as polymorphism. For example: to convince the customer differently, to draw something e.g. shape or rectangle etc. In java, we use method overloading and method overriding to achieve polymorphism. Another example can be to speak something e.g. cat speaks meaw, dog barks woof etc. Abstraction Hiding internal details and showing functionality is known as abstraction. For example: phone call, we don't know the internal processing. In java, we use abstract class and interface to achieve abstraction. Encapsulation Binding (or wrapping) code and data together into a single unit is known as encapsulation. For example: capsule, it is wrapped with different medicines. A java class is the example of encapsulation. Java bean is the fully encapsulated class because all the data members are private here. Benefits of Inheritance  One of the key benefits of inheritance is to minimize the amount of duplicate code in an application by sharing common code amongst several subclasses. Where equivalent code exists in two related classes, the hierarchy can usually be refactored to move the common code up to a mutual superclass. This also tends to result in a better organization of code and smaller, simpler compilation units.  Inheritance can also make application code more flexible to change because classes that inherit from a common superclass can be used interchangeably. If the return type of a method is superclass  Reusability - facility to use public methods of base class without rewriting the same.  Extensibility - extending the base class logic as per business logic of the derived class."
9,CH010,C001,10,JAVA PROGRAMMING Page 3  Data hiding - base class can decide to keep some data private so that it cannot be altered by the derived class Procedural and object oriented programming paradigms
